instrument,datetime,field,value
ETH-USD,2017-11-18,$ma30,
ETH-USD,2017-11-18,$ma60,
ETH-USD,2017-11-18,$ma120,
ETH-USD,2017-11-18,$ema5,335.208070562458
ETH-USD,2017-11-18,$ema10,329.23226981188606
ETH-USD,2017-11-18,$ema20,325.01583715673604
ETH-USD,2017-11-18,$ema60,322.1156164983861
ETH-USD,2017-11-18,$ema12,327.9018395155297
ETH-USD,2017-11-18,$ema26,323.9865510025753
ETH-USD,2017-11-18,$macd,3.915288512954362
ETH-USD,2017-11-18,$macd_signal,1.0050799620272597
ETH-USD,2017-11-18,$macd_hist,2.910208550927102
ETH-USD,2017-11-18,$vwap,321.13253054821814
ETH-USD,2017-11-19,$open,347.4010009765625
ETH-USD,2017-11-19,$high,371.2909851074219
ETH-USD,2017-11-19,$low,344.739990234375
ETH-USD,2017-11-19,$close,354.385986328125
ETH-USD,2017-11-19,$volume,1181529984.0
ETH-USD,2017-11-19,$ma5,
ETH-USD,2017-11-19,$ma10,
ETH-USD,2017-11-19,$ma20,
ETH-USD,2017-11-19,$ma30,
ETH-USD,2017-11-19,$ma60,
ETH-USD,2017-11-19,$ma120,
ETH-USD,2017-11-19,$ema5,341.6007091510137
ETH-USD,2017-11-19,$ema10,333.8056728148386
ETH-USD,2017-11-19,$ema20,327.81299422067787
ETH-USD,2017-11-19,$ema60,323.17366141083653
ETH-USD,2017-11-19,$ema12,331.97632364054436
ETH-USD,2017-11-19,$ema26,326.2383610266901
ETH-USD,2017-11-19,$macd,5.737962613854279
ETH-USD,2017-11-19,$macd_signal,1.9516564923926636
ETH-USD,2017-11-19,$macd_hist,3.7863061214616156
ETH-USD,2017-11-19,$vwap,325.2169568498986
ETH-USD,2017-11-20,$open,354.093994140625
ETH-USD,2017-11-20,$high,372.1369934082031
ETH-USD,2017-11-20,$low,353.28900146484375
ETH-USD,2017-11-20,$close,366.7300109863281
ETH-USD,2017-11-20,$volume,807027008.0
ETH-USD,2017-11-20,$ma5,
ETH-USD,2017-11-20,$ma10,
ETH-USD,2017-11-20,$ma20,
ETH-USD,2017-11-20,$ma30,
ETH-USD,2017-11-20,$ma60,
ETH-USD,2017-11-20,$ma120,
ETH-USD,2017-11-20,$ema5,349.97714309611854
ETH-USD,2017-11-20,$ema10,339.7919161187458
ETH-USD,2017-11-20,$ema20,331.5193767697874
ETH-USD,2017-11-20,$ema60,324.6017384460985
ETH-USD,2017-11-20,$ema12,337.3230447706649
ETH-USD,2017-11-20,$ema26,329.2377425051818
ETH-USD,2017-11-20,$macd,8.085302265483108
ETH-USD,2017-11-20,$macd_signal,3.1783856470107525
ETH-USD,2017-11-20,$macd_hist,4.906916618472355
ETH-USD,2017-11-20,$vwap,328.03375557195926
ETH-USD,2017-11-21,$open,367.4429931640625
ETH-USD,2017-11-21,$high,372.4700012207031
ETH-USD,2017-11-21,$low,350.6929931640625
ETH-USD,2017-11-21,$close,360.4010009765625
ETH-USD,2017-11-21,$volume,949912000.0
ETH-USD,2017-11-21,$ma5,
ETH-USD,2017-11-21,$ma10,
ETH-USD,2017-11-21,$ma20,
ETH-USD,2017-11-21,$ma30,
ETH-USD,2017-11-21,$ma60,
ETH-USD,2017-11-21,$ma120,
ETH-USD,2017-11-21,$ema5,353.4517623895999
ETH-USD,2017-11-21,$ema10,343.53902245653063
ETH-USD,2017-11-21,$ema20,334.2700076466231
ETH-USD,2017-11-21,$ema60,325.77548475857276
ETH-USD,2017-11-21,$ema12,340.87349957157227
ETH-USD,2017-11-21,$ema26,331.5461320215804
ETH-USD,2017-11-21,$macd,9.32736754999189
ETH-USD,2017-11-21,$macd_signal,4.408182027606981
ETH-USD,2017-11-21,$macd_hist,4.91918552238491
ETH-USD,2017-11-21,$vwap,330.64163119641233
ETH-USD,2017-11-22,$open,360.31201171875
ETH-USD,2017-11-22,$high,381.4200134277344
ETH-USD,2017-11-22,$low,360.1470031738281
ETH-USD,2017-11-22,$close,380.6520080566406
ETH-USD,2017-11-22,$volume,800819008.0
ETH-USD,2017-11-22,$ma5,
ETH-USD,2017-11-22,$ma10,
ETH-USD,2017-11-22,$ma20,
ETH-USD,2017-11-22,$ma30,
ETH-USD,2017-11-22,$ma60,
ETH-USD,2017-11-22,$ma120,
ETH-USD,2017-11-22,$ema5,362.5185109452801
ETH-USD,2017-11-22,$ema10,350.28683802018696
ETH-USD,2017-11-22,$ema20,338.68734101900577
ETH-USD,2017-11-22,$ema60,327.57471503064056
ETH-USD,2017-11-22,$ema12,346.99327010773663
ETH-USD,2017-11-22,$ema26,335.1836043204737
ETH-USD,2017-11-22,$macd,11.80966578726293
ETH-USD,2017-11-22,$macd_signal,5.888478779538171
ETH-USD,2017-11-22,$macd_hist,5.921187007724758
ETH-USD,2017-11-22,$vwap,333.3425880663643
ETH-USD,2017-11-23,$open,381.4389953613281
ETH-USD,2017-11-23,$high,425.5480041503906
ETH-USD,2017-11-23,$low,376.0880126953125
ETH-USD,2017-11-23,$close,410.1659851074219
ETH-USD,2017-11-23,$volume,1845680000.0
ETH-USD,2017-11-23,$ma5,
ETH-USD,2017-11-23,$ma10,
ETH-USD,2017-11-23,$ma20,
ETH-USD,2017-11-23,$ma30,
ETH-USD,2017-11-23,$ma60,
ETH-USD,2017-11-23,$ma120,
ETH-USD,2017-11-23,$ema5,378.4010023326607
ETH-USD,2017-11-23,$ema10,361.17395567241147
ETH-USD,2017-11-23,$ema20,345.4948309321883
ETH-USD,2017-11-23,$ema60,330.28262552496125
ETH-USD,2017-11-23,$ema12,356.71214933845744
ETH-USD,2017-11-23,$ema26,340.73785474913655
ETH-USD,2017-11-23,$macd,15.974294589320891
ETH-USD,2017-11-23,$macd_signal,7.905641941494715
ETH-USD,2017-11-23,$macd_hist,8.068652647826177
ETH-USD,2017-11-23,$vwap,342.1920422326953
ETH-USD,2017-11-24,$open,412.5010070800781
ETH-USD,2017-11-24,$high,480.9729919433594
ETH-USD,2017-11-24,$low,402.75799560546875
ETH-USD,2017-11-24,$close,474.9110107421875
ETH-USD,2017-11-24,$volume,2292829952.0
ETH-USD,2017-11-24,$ma5,
ETH-USD,2017-11-24,$ma10,
ETH-USD,2017-11-24,$ma20,
ETH-USD,2017-11-24,$ma30,
ETH-USD,2017-11-24,$ma60,
ETH-USD,2017-11-24,$ma120,
ETH-USD,2017-11-24,$ema5,410.5710051358363
ETH-USD,2017-11-24,$ema10,381.85342023055256
ETH-USD,2017-11-24,$ema20,357.82018139028344
ETH-USD,2017-11-24,$ema60,335.0245397943785
ETH-USD,2017-11-24,$ema12,374.8965895544159
ETH-USD,2017-11-24,$ema26,350.6766070449181
ETH-USD,2017-11-24,$macd,24.21998250949781
ETH-USD,2017-11-24,$macd_signal,11.168510055095336
ETH-USD,2017-11-24,$macd_hist,13.051472454402475
ETH-USD,2017-11-24,$vwap,357.107122903583
ETH-USD,2017-11-25,$open,475.6759948730469
ETH-USD,2017-11-25,$high,485.1919860839844
ETH-USD,2017-11-25,$low,461.0530090332031
ETH-USD,2017-11-25,$close,466.2760009765625
ETH-USD,2017-11-25,$volume,1422080000.0
ETH-USD,2017-11-25,$ma5,
ETH-USD,2017-11-25,$ma10,
ETH-USD,2017-11-25,$ma20,
ETH-USD,2017-11-25,$ma30,
ETH-USD,2017-11-25,$ma60,
ETH-USD,2017-11-25,$ma120,
ETH-USD,2017-11-25,$ema5,429.13933708274504
ETH-USD,2017-11-25,$ema10,397.20298036619073
ETH-USD,2017-11-25,$ema20,368.14930706516714
ETH-USD,2017-11-25,$ema60,339.3278663905157
ETH-USD,2017-11-25,$ema12,388.95496054243847
ETH-USD,2017-11-25,$ema26,359.23952511392883
ETH-USD,2017-11-25,$macd,29.715435428509636
ETH-USD,2017-11-25,$macd_signal,14.877895129778196
ETH-USD,2017-11-25,$macd_hist,14.83754029873144
ETH-USD,2017-11-25,$vwap,365.87921615715453
ETH-USD,2017-11-26,$open,465.9739990234375
ETH-USD,2017-11-26,$high,472.7229919433594
ETH-USD,2017-11-26,$low,451.6059875488281
ETH-USD,2017-11-26,$close,471.3299865722656
ETH-USD,2017-11-26,$volume,1197779968.0
ETH-USD,2017-11-26,$ma5,
ETH-USD,2017-11-26,$ma10,
ETH-USD,2017-11-26,$ma20,
